id,date,Minneapolis
281,10/13/12,31
282,10/13/12,74
283,10/13/12,59
284,10/13/12,
285,10/13/12,68
286,10/13/12,74
287,10/13/12,92
288,10/13/12,79
289,10/13/12,74
290,10/13/12,80
291,10/13/12,74
292,10/13/12,55
293,10/13/12,38
294,10/13/12,36
295,10/13/12,31
296,10/13/12,24
297,10/13/12,19
298,10/13/12,18
299,10/13/12,20
300,10/13/12,23
301,10/14/12,26
302,10/14/12,28
303,10/14/12,28
304,10/14/12,28
305,10/14/12,31
306,10/14/12,31
307,10/14/12,39
308,10/14/12,49
309,10/14/12,66
310,10/14/12,75
311,10/14/12,70
312,10/14/12,81
313,10/14/12,81
314,10/14/12,87
315,10/14/12,87
316,10/14/12,100
317,10/14/12,100
318,10/14/12,87
319,10/14/12,87
320,10/14/12,100
321,10/14/12,93
322,10/14/12,100
323,10/14/12,93
324,10/14/12,100
325,10/15/12,100
326,10/15/12,100
327,10/15/12,93
328,10/15/12,93
329,10/15/12,93
330,10/15/12,93
331,10/15/12,93
332,10/15/12,93
333,10/15/12,93
334,10/15/12,93
335,10/15/12,87
336,10/15/12,93
337,10/15/12,93
338,10/15/12,87
339,10/15/12,93
340,10/15/12,93
341,10/15/12,100
342,10/15/12,
343,10/15/12,66
344,10/15/12,50
345,10/15/12,47
346,10/15/12,33
347,10/15/12,33
348,10/15/12,
349,10/16/12,46
350,10/16/12,46
351,10/16/12,50
352,10/16/12,50
353,10/16/12,66
354,10/16/12,61
355,10/16/12,65
356,10/16/12,65
357,10/16/12,65
358,10/16/12,75
359,10/16/12,
360,10/16/12,75
361,10/16/12,
362,10/16/12,80
363,10/16/12,75
364,10/16/12,65
365,10/16/12,57
366,10/16/12,43
367,10/16/12,50
368,10/16/12,38
369,10/16/12,38
370,10/16/12,36
371,10/16/12,38
372,10/16/12,38
373,10/17/12,44
374,10/17/12,44
375,10/17/12,44
376,10/17/12,47
377,10/17/12,50
378,10/17/12,54
379,10/17/12,54
380,10/17/12,54
381,10/17/12,50
382,10/17/12,50
383,10/17/12,58
384,10/17/12,58
385,10/17/12,62
386,10/17/12,66
387,10/17/12,66
388,10/17/12,62
389,10/17/12,62
390,10/17/12,59
391,10/17/12,55
392,10/17/12,48
393,10/17/12,45
394,10/17/12,49
395,10/17/12,49
396,10/17/12,59
397,10/18/12,63
398,10/18/12,71
399,10/18/12,71
400,10/18/12,71
401,10/18/12,71
402,10/18/12,76
403,10/18/12,81
404,10/18/12,81
405,10/18/12,87
406,10/18/12,81
407,10/18/12,87
408,10/18/12,81
409,10/18/12,81
410,10/18/12,81
411,10/18/12,71
412,10/18/12,62
413,10/18/12,59
414,10/18/12,63
415,10/18/12,71
416,10/18/12,66
417,10/18/12,58
418,10/18/12,50
419,10/18/12,50
420,10/18/12,54
421,10/19/12,54
