ID,STATION,NAME,DATE,PRCP,TMAX,TMIN
70,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/11/17,0,16,2
71,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/12/17,0,20,6
72,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/13/17,0.11,28,12
73,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/14/17,0,29,12
74,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/15/17,0,32,11
75,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/16/17,0,30,11
76,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/17/17,0,40,20
77,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/18/17,0,42,28
78,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/19/17,0,40,28
79,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/20/17,0,52,29
80,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/21/17,0,53,26
81,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/22/17,0,33,18
82,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/23/17,0,38,19
83,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/24/17,0.18,38,35
84,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/25/17,0,42,35
85,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/26/17,0.12,40,34
86,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/27/17,0,41,34
87,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/28/17,0,56,31
88,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/29/17,0,61,32
89,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/30/17,0.04,48,37
90,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",3/31/17,0,46,30
91,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/1/17,0,54,30
92,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/2/17,0,63,34
93,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/3/17,0,53,43
94,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/4/17,0.05,49,42
95,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/5/17,0,59,36
96,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/6/17,0,52,33
97,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/7/17,0,52,29
98,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/8/17,0,58,32
99,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/9/17,0,69,47
100,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/10/17,0.21,70,42
101,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/11/17,0.38,43,29
102,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/12/17,0,50,30
103,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/13/17,0.21,54,42
104,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/14/17,0,52,43
105,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/15/17,0.5,62,46
106,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/16/17,0.38,70,45
107,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/17/17,0,62,42
108,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/18/17,0,56,42
109,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/19/17,0.24,62,42
110,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/20/17,0.85,50,38
111,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/21/17,0,48,35
112,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/22/17,0,60,39
113,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/23/17,0,67,44
114,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/24/17,0,66,45
115,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/25/17,0,70,51
116,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/26/17,0.86,59,34
117,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/27/17,0,38,30
118,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/28/17,0,35,30
119,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/29/17,0,48,34
120,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",4/30/17,0,53,37
121,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/1/17,0.98,45,34
122,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/2/17,0.3,39,32
123,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/3/17,0,60,39
124,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/4/17,0,64,43
125,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/5/17,0,67,44
126,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/6/17,0,77,41
127,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/7/17,0,66,44
128,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/8/17,0,65,44
129,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/9/17,0.2,69,46
130,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/10/17,0.01,70,48
131,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/11/17,0,66,46
132,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/12/17,0,66,44
133,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/13/17,0,75,48
134,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/14/17,0,80,54
135,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/15/17,0,83,61
136,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/16/17,0.63,69,58
137,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/17/17,0.94,81,62
138,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/18/17,1.89,69,46
139,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/19/17,0.02,53,42
140,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/20/17,0,53,42
141,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/21/17,1.32,50,40
142,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/22/17,0.06,50,43
143,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/23/17,0.04,64,48
144,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/24/17,0.03,60,45
145,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/25/17,0,61,47
146,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/26/17,0.04,70,52
147,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/27/17,0,80,52
148,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/28/17,0,72,56
149,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/29/17,0.05,73,52
150,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/30/17,0.03,64,51
151,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",5/31/17,0,59,49
152,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/1/17,0,73,45
153,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/2/17,0,79,56
154,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/3/17,0,88,64
155,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/4/17,0,89,62
156,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/5/17,0,87,57
157,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/6/17,0,84,53
158,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/7/17,0,80,58
159,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/8/17,0.01,86,66
160,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/9/17,0,81,60
161,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/10/17,0,83,65
162,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/11/17,0,93,70
163,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/12/17,0.89,73,55
164,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/13/17,0.32,80,64
165,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/14/17,0.21,88,66
166,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/15/17,0,83,66
167,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/16/17,0,84,63
168,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/17/17,0,83,61
169,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/18/17,0.24,82,59
170,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/19/17,0,71,59
171,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/20/17,0.17,71,57
172,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/21/17,0,73,55
173,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/22/17,0.11,80,62
174,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/23/17,0.48,70,56
175,USC00218450,"UNIVERSITY OF MN ST. PAUL, MN US",6/24/17,0,70,52
