id,Date,Minneapolis
1,10/1/12,1012
2,10/1/12,1012
3,10/1/12,1012
4,10/1/12,1012
5,10/1/12,1012
6,10/1/12,1012
7,10/1/12,1012
8,10/1/12,1012
9,10/1/12,1012
10,10/1/12,1012
11,10/1/12,1012
12,10/2/12,1012
13,10/2/12,1012
14,10/2/12,1012
15,10/2/12,1012
16,10/2/12,1012
17,10/2/12,1012
18,10/2/12,1012
19,10/2/12,1012
20,10/2/12,1012
21,10/2/12,1012
22,10/2/12,1012
23,10/2/12,1012
24,10/2/12,1012
25,10/2/12,1012
26,10/2/12,1013
27,10/2/12,1013
28,10/2/12,1014
29,10/2/12,1015
30,10/2/12,1013
31,10/2/12,1014
32,10/2/12,1014
33,10/2/12,1013
34,10/2/12,1013
35,10/2/12,1013
36,10/3/12,1013
37,10/3/12,1014
38,10/3/12,1014
39,10/3/12,1014
40,10/3/12,1014
41,10/3/12,1014
42,10/3/12,1014
43,10/3/12,1015
44,10/3/12,1015
45,10/3/12,1014
46,10/3/12,1014
47,10/3/12,1015
48,10/3/12,1015
49,10/3/12,1015
50,10/3/12,1015
51,10/3/12,1014
52,10/3/12,1014
53,10/3/12,1014
54,10/3/12,1014
55,10/3/12,1013
56,10/3/12,1012
57,10/3/12,1011
58,10/3/12,1011
59,10/3/12,1011
60,10/4/12,1011
61,10/4/12,1011
62,10/4/12,1012
63,10/4/12,1012
64,10/4/12,1012
65,10/4/12,1012
66,10/4/12,1012
67,10/4/12,1012
68,10/4/12,1013
69,10/4/12,1012
70,10/4/12,1012
71,10/4/12,1013
72,10/4/12,1013
73,10/4/12,1013
74,10/4/12,1013
75,10/4/12,1013
76,10/4/12,1013
77,10/4/12,1013
78,10/4/12,1012
79,10/4/12,1011
80,10/4/12,1011
81,10/4/12,1010
82,10/4/12,1010
83,10/4/12,1011
84,10/5/12,1011
85,10/5/12,1011
86,10/5/12,1011
87,10/5/12,1011
88,10/5/12,1011
89,10/5/12,1011
90,10/5/12,1010
91,10/5/12,1008
92,10/5/12,1007
93,10/5/12,1008
94,10/5/12,1010
95,10/5/12,1011
96,10/5/12,1012
97,10/5/12,1013
98,10/5/12,1014
99,10/5/12,1014
100,10/5/12,1015
101,10/5/12,1016
102,10/5/12,1016
103,10/5/12,1018
104,10/5/12,1018
105,10/5/12,1019
106,10/5/12,1019
107,10/5/12,1020
108,10/6/12,1020
109,10/6/12,1020
110,10/6/12,1021
111,10/6/12,1021
112,10/6/12,1021
113,10/6/12,1021
114,10/6/12,1021
115,10/6/12,1020
116,10/6/12,1020
117,10/6/12,1020
118,10/6/12,1020
119,10/6/12,1020
120,10/6/12,1019
121,10/6/12,1021
122,10/6/12,1021
123,10/6/12,1021
124,10/6/12,1021
125,10/6/12,1020
126,10/6/12,1020
127,10/6/12,1020
128,10/6/12,1019
129,10/6/12,1020
130,10/6/12,1020
131,10/6/12,1020
132,10/7/12,1020
133,10/7/12,1020
134,10/7/12,1021
135,10/7/12,1021
136,10/7/12,1021
137,10/7/12,1021
138,10/7/12,1021
139,10/7/12,1021
140,10/7/12,1021
141,10/7/12,1021
142,10/7/12,1022
143,10/7/12,1022
144,10/7/12,1023
145,10/7/12,1024
146,10/7/12,1024
147,10/7/12,1025
148,10/7/12,1025
149,10/7/12,1025
150,10/7/12,1025
151,10/7/12,1025
152,10/7/12,1024
153,10/7/12,1024
154,10/7/12,1023
155,10/7/12,1024
156,10/8/12,1024
157,10/8/12,1024
158,10/8/12,1024
159,10/8/12,1024
160,10/8/12,1024
161,10/8/12,1024
162,10/8/12,1023
163,10/8/12,1023
164,10/8/12,1023
165,10/8/12,1023
166,10/8/12,1022
167,10/8/12,1022
168,10/8/12,1022
169,10/8/12,1022
170,10/8/12,1022
171,10/8/12,1021
172,10/8/12,1021
173,10/8/12,1020
174,10/8/12,1019
175,10/8/12,1018
176,10/8/12,1016
177,10/8/12,1016
178,10/8/12,1015
179,10/8/12,1015
180,10/9/12,1014
181,10/9/12,1014
182,10/9/12,1014
183,10/9/12,1013
184,10/9/12,1013
185,10/9/12,1012
186,10/9/12,1012
187,10/9/12,1011
188,10/9/12,1010
189,10/9/12,1010
190,10/9/12,1010
191,10/9/12,1009
192,10/9/12,1009
193,10/9/12,1008
194,10/9/12,1008
195,10/9/12,1008
196,10/9/12,1007
197,10/9/12,1005
198,10/9/12,1004
199,10/9/12,1003
200,10/9/12,1002
201,10/9/12,1002
202,10/9/12,1002
203,10/9/12,1002
204,10/10/12,1003
205,10/10/12,1004
206,10/10/12,1006
207,10/10/12,1007
208,10/10/12,1007
209,10/10/12,1007
210,10/10/12,1007
211,10/10/12,1007
212,10/10/12,1007
213,10/10/12,1006
214,10/10/12,1005
215,10/10/12,1005
216,10/10/12,1007
217,10/10/12,1008
218,10/10/12,1009
219,10/10/12,1006
220,10/10/12,1009
221,10/10/12,1009
222,10/10/12,1008
223,10/10/12,1008
224,10/10/12,1009
225,10/10/12,1007
226,10/10/12,997
227,10/10/12,988
228,10/11/12,988
229,10/11/12,988
230,10/11/12,988
231,10/11/12,988
232,10/11/12,988
233,10/11/12,1001
234,10/11/12,1015
235,10/11/12,1015
236,10/11/12,1016
237,10/11/12,1016
238,10/11/12,1016
239,10/11/12,1017
240,10/11/12,1017
241,10/11/12,1018
242,10/11/12,1019
243,10/11/12,1019
244,10/11/12,1012
245,10/11/12,1006
246,10/11/12,1000
247,10/11/12,994
248,10/11/12,994
249,10/11/12,1017
250,10/11/12,1016
251,10/11/12,1016
252,10/12/12,1015
253,10/12/12,1015
254,10/12/12,1014
255,10/12/12,1013
256,10/12/12,1012
257,10/12/12,1011
258,10/12/12,1009
259,10/12/12,1009
260,10/12/12,1010
261,10/12/12,1010
262,10/12/12,1012
263,10/12/12,1014
264,10/12/12,1016
265,10/12/12,1017
266,10/12/12,1018
267,10/12/12,1020
268,10/12/12,1021
269,10/12/12,1021
270,10/12/12,1022
271,10/12/12,1022
272,10/12/12,1022
273,10/12/12,1023
274,10/12/12,1023
275,10/12/12,1024
276,10/13/12,1019
277,10/13/12,1015
278,10/13/12,1010
279,10/13/12,1006
280,10/13/12,1001
281,10/13/12,1029
282,10/13/12,1030
283,10/13/12,1030
284,10/13/12,1030
